,CHARTER,CITY,WEBADDR,STNAME,NAME,ID
0,0,Sanford,,Maine,Northeast Bank of Sanford,10
1,0,Bentonville,,Arkansas,Bank of Bentonville,100
2,16248,Wheeling,,West Virginia,"Progressive Bank, National Association",10002
3,0,White Sulphur Springs,,West Virginia,First Citizens Bank & Trust Company,10003
4,0,Markesan,www.ergobank.com,Wisconsin,Ergo Bank,10004
5,0,Green Bay,,Wisconsin,"Valley Bank, Green Bay",10005
6,0,Jefferson,,Wisconsin,Jefferson County Bank,10006
7,0,Cedarburg,,Wisconsin,Partnership Bank,10007
8,0,Elkhart Lake,,Wisconsin,Bank of Elkhart Lake,10008
9,0,Delafield,,Wisconsin,"Bank One, Waukesha",10009
10,0,Mason,,Michigan,Mason State Bank,1001
11,0,Monroe,www.woodfordstatebank.com,Wisconsin,Woodford State Bank,10011
12,0,Almond,http://www.PORTAGECOUNTYBANK.COM,Wisconsin,The Portage County Bank,10012
13,0,Beaver Dam,,Wisconsin,"Bank One, Beaver Dam",10013
14,0,Coloma,,Wisconsin,M&I Peoples Bank,10014
15,0,New Auburn,www.securityonlinebank.com,Wisconsin,Security Bank,10015
16,0,Prairie Farm,,Wisconsin,First State Bank of Prairie Farm,10016
17,13859,Oxford,,North Carolina,The Union National Bank of Oxford,10018
18,13861,Rochester,,New Hampshire,BankEast National Bank,10022
19,0,Springfield,,Illinois,Mercantile Bank of Illinois,10025
20,13865,Monticello,,Illinois,National Bank of Monticello,10026
21,4275,Island Pond,,Vermont,The Island Pond National Bank,10029
22,0,Detroit,,Michigan,Chemical Bank,1003
23,13868,Blairsville,,Pennsylvania,Blairsville National Bank,10030
24,13871,Albion,,Pennsylvania,Community National Bank of Norwestern Pennsylvania,10032
25,0,Ashland,,Wisconsin,M&I Bank of Ashland,10035
26,13872,Sycamore,,Illinois,The National Bank & Trust Company of Sycamore,10036
27,0,Wyandotte,,Michigan,Charter Bank,10037
28,13875,Liberty,,Missouri,"Commercial Bank of Liberty, N. A.",10038
29,0,Mount Pleasant,,Michigan,First America Bank - Mt. Pleasant,1004
30,3755,Attica,,Indiana,The Central National Bank and Trust Company,10040
31,13878,Onancock,,Virginia,First Virginia Bank - Eastern Shore,10042
