CUNumber,CUName,City,State,URL
1,MORRIS SHEPPARD TEXARKANA,TEXARKANA,TX,http://www.morrissheppardfcu.org
6,THE NEW ORLEANS FIREMEN'S,Metairie,LA,http://www.noffcu.org
12,FRANKLIN TRUST,Hartford,CT,http://www.franklintrust.org
13,EFCU FINANCIAL,Baton Rouge,LA,http://www.efcufinancial.org
16,WOODMEN,OMAHA,NE,http://WWW.WOODMENFCU.ORG
19,NEW HAVEN TEACHERS,New Haven,CT,
22,WATERBURY CONNECTICUT TEACHERS,MIDDLEBURY,CT,http://www.wctfcu.com
26,FARMERS,JACKSONVILLE,FL,http://WWW.FARMERSFCU.COM
28,CENTRIS,Omaha,NE,http://www.centrisfcu.org
42,FD COMMUNITY,Waterbury,CT,http://www.fdcommunityfcu.org
47,FARGO PUBLIC SCHOOLS,Fargo,ND,http://www.fpsfcu.com
48,EAGLE EXPRESS,JACKSON,MS,http://www.eagleexpressfcu.com
51,BROADVIEW,Albany,NY,https://www.broadviewfcu.com
53,MOTION,Linden,NJ,http://www.motionfcu.org
60,LEVO,Sioux Falls,SD,http://www.levo.org
77,SERVICE FIRST,Sioux Falls,SD,http://www.servicefirstfcu.org
79,CAMPUS,Baton Rouge,LA,https://www.campusfederal.org
82,FIRST ATLANTIC,EATONTOWN,NJ,https://www.fafcu.com
90,POST GAZETTE,CLINTON,PA,http://WWW.POSTGAZETTEFCU.ORG
98,NIAGARA FALLS TEACHERS,Niagara Falls,NY,HTTP://WWW.NFTFCU.ORG
107,KEMBA ROANOKE,SALEM,VA,http://WWW.KEMBAFCU.ORG
108,KEMBA CHARLESTON,Dunbar,WV,http://KEMBACHARLESTONFCU.ORG
110,ITALO-AMERICAN,Glendale,NY,http://www.italoamericanfcu.com
119,TRIBORO POSTAL,FLUSHING,NY,http://www.tpfcu.net
120,COUNTY EXCELLENCE,Roselle Park,NJ,http://WWW.COUNTYEDFCU.ORG
132,MOUNT VERNON NY POSTAL EMPLOYEES,Mount Vernon,NY,https://mtvernonpostalefcu.com
135,OMAHA,OMAHA,NE,https://www.omahafcu.org
138,VIGO COUNTY,Terre Haute,IN,http://vigocountyfcu.org
146,TEL-U-WATT,MINOT,ND,http://www.teluwatt.com
147,NORTHERN STS PWR COMPANY EMP,GRAND FORKS,ND,
150,FEDCHOICE,Lanham,MD,https://www.fedchoice.org/
151,JUSTICE,Chantilly,VA,http://www.jfcu.org
153,MERIDEN POSTAL EMPLOYEES,Meriden,CT,
159,THREE RIVERS,FORT WAYNE,IN,http://www.3riversfcu.org
162,TREASURY DEPARTMENT,WASHINGTON,DC,http://www.tdfcu.org
167,DAKOTALAND,Huron,SD,http://www.dakotalandfcu.com
168,NORTHERN INDIANA,Merrillville,IN,http://www.nifedcu.org
169,GARY FIREFIGHTERS ASSOCIATION,GARY,IN,
176,EDUCATIONAL,MIAMI,FL,http://www.edfed.org
187,FLORIDA A & M UNIVERSITY,Tallahassee,FL,http://www.famufcu.com
195,NORTHWEST ARKANSAS,FAYETTEVILLE,AR,http://www.nwarkansasfcu.com
196,GTE,TAMPA,FL,http://www.gtefinancial.org
198,WHITING REFINERY,Whiting,IN,http://www.wrfcu.org
199,MEMBERS CHOICE OF CENTRAL TEXAS,WACO,TX,http://www.choicefcu.com
200,A T & T EMPLOYEES PITTSBURGH,Pittsburgh,PA,http://www.attpghfcu.com
205,ALLEGENT COMMUNITY,Pittsburgh,PA,http://www.allegentfcu.org
216,FEDFINANCIAL,Silver Spring,MD,http://www.fedfinancial.org
220,HOPE,Bridgeport,WV,http://www.hopefcu.com
224,MAGNOLIA,Jackson,MS,http://www.magfedcu.org
227,PENTAGON,MCLEAN,VA,http://www.penfed.org
233,INFIRST,Alexandria,VA,http://www.infirstfcu.org
234,PITTSBURGH FIREFIGHTER'S,PITTSBURGH,PA,http://www.pghffcu.org
240,GREATER PITTSBURGH POLICE,Pittsburgh,PA,http://www.pittsburghpolicefcu.com
242,GULF COAST COMMUNITY,GULFPORT,MS,http://www.gulfcoastcommunityfcu.or
256,ENERGY ONE,Tulsa,OK,http://www.energyone.org
258,HOUSTON TEXAS FIRE FIGHTERS,Houston,TX,http://htfffcu.org
262,EP,Washington,DC,http://www.epfcu.org
266,LIBRARY OF CONGRESS,Washington,DC,http://WWW.LCFCU.ORG
274,AREA,ABERDEEN,SD,http://www.areafcu.org
277,CLIFTON NJ POSTAL EMPLOYEES,Clifton,NJ,
287,USNE PENITENTIARY EMPLOYEES,LEWISBURG,PA,http://WWW.USNEPFCU.ORG
288,FARGO VA,FARGO,ND,http://www.fargovafcu.org
294,CME,COLUMBUS,OH,https://www.cmefcu.org
303,HERITAGE VALLEY,YORK,PA,http://www.heritagevalleyfcu.org
306,MADISON COUNTY,Anderson,IN,http://www.madcofcu.org
319,DEPARTMENT OF THE INTERIOR,Washington,DC,http://www.interiorfcu.org
320,F R B,Washington,DC,http://www.frbfcu.org
340,RADIFI,Jacksonville,FL,http://www.radificu.org
352,TAMPA BAY,Tampa,FL,http://www.tampabayfederal.com
361,SPERO FINANCIAL,Greenville,SC,https://www.spero.financial
365,GP,Rome,GA,http://WWW.GPFEDERAL.ORG
367,PEPCO,WASHINGTON,DC,http://Pepcofcu.org
370,PPG & ASSOCIATES,Creighton,PA,http://ppgfcu.org
373,NEW ALLIANCE,AMBRIDGE,PA,https://www.newalliancefcu.com
376,REGIONAL MEMBERS,COLUMBUS,GA,http://www.rmfcu.org
378,FLORIDA CUSTOMS,Tampa,FL,HTTP://WWW.FLCUSTOMSFCU.ORG
383,ON THE GRID FINANCIAL,Atlanta,GA,http://www.cuonthegrid.com
389,CINCINNATI OHIO POLICE,CINCINNATI,OH,http://www.copfcu.com
390,ELLIOTT COMMUNITY,JEANNETTE,PA,http://www.elliottfcu.com
395,FIREFIGHTERS & COMPANY,DAYTON,OH,http://www.ffcocu.org
404,GREATER NEW ORLEANS,Metairie,LA,http://www.gnofcu.com
422,PITTSBURGH,Pittsburgh,PA,http://www.pittsburghfcu.org
430,DEEPWATER INDUSTRIES,DEEPWATER,NJ,http://www.deepwaterind.org
435,STATE DEPARTMENT,ALEXANDRIA,VA,http://www.sdfcu.org
444,SCA,NEW CASTLE,PA,http://shenangochinafcu.com
452,SKYLINE FINANCIAL,Waterbury,CT,http://www.skylinefinancialfcu.com
464,EAGLE ONE,Claymont,DE,http://www.eagleonefcu.org
473,RIVERTRUST,PEARL,MS,http://www.rivertrustfcu.com
475,INTEGRITY,BARBERTON,OH,http://www.integrityfcu.org
477,THE ATLANTIC,Springfield,NJ,https://www.theatlanticfcu.com
484,LYNN FIREMENS,Lynn,MA,http://www.lynnffcu.com
489,PRIMETRUST FINANCIAL,MUNCIE,IN,http://www.primetrustcu.com
490,RAILS WEST,CHUBBUCK,ID,http://www.railswestcu.org
511,BFG,AKRON,OH,https://www.bfgfcu.org
514,BEN E KEITH COMPANY EMPLOYEES,Fort Worth,TX,http://www.bekefcu.org
517,SEI,POCATELLO,ID,http://www.seius.org
524,BOSTON CUSTOMS,Boston,MA,http://bostoncustomsfcu.org
528,UTAH FIRST,SALT LAKE CITY,UT,http://www.utahfirst.com
