,CHARTER,city,url,state,name,charter_id
0,0,Sanford,,ME,Northeast Bank of Sanford,10
1,0,Bentonville,,AR,Bank of Bentonville,100
2,16248,Wheeling,,WV,"Progressive Bank, National Association",10002
3,0,White Sulphur Springs,,WV,First Citizens Bank & Trust Company,10003
4,0,Markesan,www.ergobank.com,WI,Ergo Bank,10004
5,0,Green Bay,,WI,"Valley Bank, Green Bay",10005
6,0,Jefferson,,WI,Jefferson County Bank,10006
7,0,Cedarburg,,WI,Partnership Bank,10007
8,0,Elkhart Lake,,WI,Bank of Elkhart Lake,10008
9,0,Delafield,,WI,"Bank One, Waukesha",10009
10,0,Mason,,MI,Mason State Bank,1001
11,0,Monroe,www.woodfordstatebank.com,WI,Woodford State Bank,10011
12,0,Almond,http://www.PORTAGECOUNTYBANK.COM,WI,The Portage County Bank,10012
13,0,Beaver Dam,,WI,"Bank One, Beaver Dam",10013
14,0,Coloma,,WI,M&I Peoples Bank,10014
15,0,New Auburn,www.securityonlinebank.com,WI,Security Bank,10015
16,0,Prairie Farm,,WI,First State Bank of Prairie Farm,10016
17,13859,Oxford,,NC,The Union National Bank of Oxford,10018
18,13861,Rochester,,NH,BankEast National Bank,10022
19,0,Springfield,,IL,Mercantile Bank of Illinois,10025
20,13865,Monticello,,IL,National Bank of Monticello,10026
21,4275,Island Pond,,VT,The Island Pond National Bank,10029
22,0,Detroit,,MI,Chemical Bank,1003
23,13868,Blairsville,,PA,Blairsville National Bank,10030
24,13871,Albion,,PA,Community National Bank of Norwestern Pennsylvania,10032
25,0,Ashland,,WI,M&I Bank of Ashland,10035
26,13872,Sycamore,,IL,The National Bank & Trust Company of Sycamore,10036
27,0,Wyandotte,,MI,Charter Bank,10037
28,13875,Liberty,,MO,"Commercial Bank of Liberty, N. A.",10038
29,0,Mount Pleasant,,MI,First America Bank - Mt. Pleasant,1004
30,3755,Attica,,IN,The Central National Bank and Trust Company,10040
31,13878,Onancock,,VA,First Virginia Bank - Eastern Shore,10042
32,13879,Fond Du Lac,https://www.nebat.com,WI,National Exchange Bank and Trust,10044
33,0,West Union,,WV,"Cornerstone Bank, Inc.",10045
34,13882,Yonkers,,NY,First National Bank in Yonkers,10046
35,13883,Carrollton,,OH,The First National Bank at Carrollton,10047
36,0,Mount Pleasant,www.isabellabank.com,MI,Isabella Bank,1005
37,0,Acworth,,GA,Bank of Acworth,10051
38,0,Butler,,GA,Southland Bank,10052
39,0,Gainesville,,GA,Central and Southern Bank of North Georgia,10053
40,0,Hiawassee,,GA,Bank of Hiawassee,10054
41,0,Waycross,www.fsb-bank.bank,GA,First Southern Bank,10055
42,0,Rochelle,,GA,Colony Bank Wilcox,10056
43,0,Sparta,https://www.bankofhancock.com/,GA,Bank of Hancock County,10057
44,0,Marietta,,GA,NBG Cobb Bank,10058
45,0,Dublin,,GA,Farmers & Merchants Bank,10059
46,0,New Baltimore,,MI,Citizens State Bank,1006
47,0,Pinehurst,,GA,Bank of Pinehurst,10061
48,0,Americus,,GA,The Bank of Commerce,10063
49,14499,Cedartown,,GA,The Commercial National Bank,10064
50,0,Fort Valley,,GA,The Citizens Bank,10066
51,0,Stapleton,,GA,Bank of Stapleton,10067
52,0,Union Point,,GA,Bank of Union Point,10069
53,0,New Haven,,MI,New Haven Savings Bank,1007
54,0,Atlanta,,GA,The Hamilton Bank and Trust Company,10070
55,0,Canton,,GA,Etowah Bank,10071
56,0,Camilla,http://www.pcbank.net,GA,Planters and Citizens Bank,10072
57,0,Valdosta,,GA,First State Bank and Trust Company of Valdosta,10073
58,0,Irwinton,www.apexga.bank,GA,Apex Banking Company of Georgia,10074
59,0,Colfax,http://www.psbofcolfax.com,IL,Peoples State Bank of Colfax,10075
60,0,Emden,,IL,Farmers State Bank of Emden,10077
61,0,Brooklyn,http://www.bankmichigan.bank,MI,Bank Michigan,1008
62,0,Reynolds,,IL,Reynolds State Bank,10080
63,0,Shelbyville,,IL,First Trust Bank of Shelbyville,10082
64,0,Somonauk,,IL,Farmers State Bank of Somonauk,10083
65,0,Stonefort,,IL,Saline County State Bank,10084
66,0,Farmersville,,IL,State Bank of Farmersville,10085
67,15346,Western Springs,,IL,Western Springs National Bank and Trust,10086
68,0,Crown Point,,IN,The Commercial Bank,10088
69,0,Troy,,MI,First of America Bank-Wayne Oakland,1009
70,0,Jeffersonville,,IN,INB Banking Company,10091
71,0,Osgood,,IN,The Ripley County Bank,10092
72,0,Greensburg,,IN,Union Bank and Trust Company of Indiana,10093
73,0,Brownstown,,IN,The Citizens State Bank,10094
74,0,Goshen,,IN,"Society Bank, Goshen",10096
75,0,Washington,,IN,United Southwest Bank,10099
76,0,Prescott,,AR,Bank of Prescott,101
77,0,Columbus,,IN,Irwin Union Bank and Trust Company,10100
78,0,Napoleon,www.napoleonstatebank.com,IN,The Napoleon State Bank,10101
79,0,Peru,,IN,First of America Bank-Wabash Valley,10104
80,0,Vincennes,,IN,Alliance Bank,10106
81,0,Twelve Mile,,IN,The Twelve Mile State Bank,10107
82,0,Waldron,,IN,The State Bank of Waldron,10108
83,0,Wyatt,,IN,Farmers State Bank of Wyatt,10109
84,0,St. Clair,,MI,The Commercial and Savings Bank of St. Clair County,1011
85,0,Cascade,www.ohnwardbank.bank,IA,Ohnward Bank & Trust,10111
86,0,Cedar Rapids,,IA,"Mercantile Bank of Cedar Rapids, Iowa",10112
87,0,Cherokee,,IA,Central Trust and Savings Bank,10113
88,0,Tipton,,IA,Community State Bank,10114
89,0,Dows,,IA,Farmers State Bank of Dows,10115
90,0,Early,,IA,Early Savings Bank,10116
91,0,Pella,www.leightonbank.com,IA,Leighton State Bank,10118
92,0,Cedar Rapids,,IA,Hills Bank,10119
93,0,Sebewaing,,MI,First of America Bank-Bay Area,1012
94,0,Lowden,www.atsb-lowden.com,IA,American Trust and Savings Bank,10120
