,charter_id,name,city,state,url
0,1,MORRIS SHEPPARD TEXARKANA,TEXARKANA,TX,http://www.morrissheppardfcu.org
1,6,THE NEW ORLEANS FIREMEN'S,Metairie,LA,http://www.noffcu.org
2,12,FRANKLIN TRUST,Hartford,CT,http://www.franklintrust.org
3,13,EFCU FINANCIAL,Baton Rouge,LA,http://www.efcufinancial.org
4,16,WOODMEN,OMAHA,NE,http://WWW.WOODMENFCU.ORG
5,19,NEW HAVEN TEACHERS,New Haven,CT,
6,22,WATERBURY CONNECTICUT TEACHERS,MIDDLEBURY,CT,http://www.wctfcu.com
7,26,FARMERS,JACKSONVILLE,FL,http://WWW.FARMERSFCU.COM
8,28,CENTRIS,Omaha,NE,http://www.centrisfcu.org
9,42,FD COMMUNITY,Waterbury,CT,http://www.fdcommunityfcu.org
10,47,FARGO PUBLIC SCHOOLS,Fargo,ND,http://www.fpsfcu.com
11,48,EAGLE EXPRESS,JACKSON,MS,http://www.eagleexpressfcu.com
12,51,BROADVIEW,Albany,NY,https://www.broadviewfcu.com
13,53,MOTION,Linden,NJ,http://www.motionfcu.org
14,60,LEVO,Sioux Falls,SD,http://www.levo.org
15,77,SERVICE FIRST,Sioux Falls,SD,http://www.servicefirstfcu.org
16,79,CAMPUS,Baton Rouge,LA,https://www.campusfederal.org
17,82,FIRST ATLANTIC,EATONTOWN,NJ,https://www.fafcu.com
18,90,POST GAZETTE,CLINTON,PA,http://WWW.POSTGAZETTEFCU.ORG
19,98,NIAGARA FALLS TEACHERS,Niagara Falls,NY,HTTP://WWW.NFTFCU.ORG
20,107,KEMBA ROANOKE,SALEM,VA,http://WWW.KEMBAFCU.ORG
21,108,KEMBA CHARLESTON,Dunbar,WV,http://KEMBACHARLESTONFCU.ORG
22,110,ITALO-AMERICAN,Glendale,NY,http://www.italoamericanfcu.com
23,119,TRIBORO POSTAL,FLUSHING,NY,http://www.tpfcu.net
24,120,COUNTY EXCELLENCE,Roselle Park,NJ,http://WWW.COUNTYEDFCU.ORG
25,132,MOUNT VERNON NY POSTAL EMPLOYEES,Mount Vernon,NY,https://mtvernonpostalefcu.com
26,135,OMAHA,OMAHA,NE,https://www.omahafcu.org
27,138,VIGO COUNTY,Terre Haute,IN,http://vigocountyfcu.org
28,146,TEL-U-WATT,MINOT,ND,http://www.teluwatt.com
29,147,NORTHERN STS PWR COMPANY EMP,GRAND FORKS,ND,
30,150,FEDCHOICE,Lanham,MD,https://www.fedchoice.org/
31,151,JUSTICE,Chantilly,VA,http://www.jfcu.org
32,153,MERIDEN POSTAL EMPLOYEES,Meriden,CT,
33,159,THREE RIVERS,FORT WAYNE,IN,http://www.3riversfcu.org
34,162,TREASURY DEPARTMENT,WASHINGTON,DC,http://www.tdfcu.org
35,167,DAKOTALAND,Huron,SD,http://www.dakotalandfcu.com
36,168,NORTHERN INDIANA,Merrillville,IN,http://www.nifedcu.org
37,169,GARY FIREFIGHTERS ASSOCIATION,GARY,IN,
38,176,EDUCATIONAL,MIAMI,FL,http://www.edfed.org
39,187,FLORIDA A & M UNIVERSITY,Tallahassee,FL,http://www.famufcu.com
40,195,NORTHWEST ARKANSAS,FAYETTEVILLE,AR,http://www.nwarkansasfcu.com
41,196,GTE,TAMPA,FL,http://www.gtefinancial.org
42,198,WHITING REFINERY,Whiting,IN,http://www.wrfcu.org
43,199,MEMBERS CHOICE OF CENTRAL TEXAS,WACO,TX,http://www.choicefcu.com
44,200,A T & T EMPLOYEES PITTSBURGH,Pittsburgh,PA,http://www.attpghfcu.com
45,205,ALLEGENT COMMUNITY,Pittsburgh,PA,http://www.allegentfcu.org
46,216,FEDFINANCIAL,Silver Spring,MD,http://www.fedfinancial.org
47,220,HOPE,Bridgeport,WV,http://www.hopefcu.com
48,224,MAGNOLIA,Jackson,MS,http://www.magfedcu.org
49,227,PENTAGON,MCLEAN,VA,http://www.penfed.org
50,233,INFIRST,Alexandria,VA,http://www.infirstfcu.org
51,234,PITTSBURGH FIREFIGHTER'S,PITTSBURGH,PA,http://www.pghffcu.org
52,240,GREATER PITTSBURGH POLICE,Pittsburgh,PA,http://www.pittsburghpolicefcu.com
53,242,GULF COAST COMMUNITY,GULFPORT,MS,http://www.gulfcoastcommunityfcu.or
54,256,ENERGY ONE,Tulsa,OK,http://www.energyone.org
55,258,HOUSTON TEXAS FIRE FIGHTERS,Houston,TX,http://htfffcu.org
56,262,EP,Washington,DC,http://www.epfcu.org
57,266,LIBRARY OF CONGRESS,Washington,DC,http://WWW.LCFCU.ORG
58,274,AREA,ABERDEEN,SD,http://www.areafcu.org
59,277,CLIFTON NJ POSTAL EMPLOYEES,Clifton,NJ,
60,287,USNE PENITENTIARY EMPLOYEES,LEWISBURG,PA,http://WWW.USNEPFCU.ORG
61,288,FARGO VA,FARGO,ND,http://www.fargovafcu.org
62,294,CME,COLUMBUS,OH,https://www.cmefcu.org
63,303,HERITAGE VALLEY,YORK,PA,http://www.heritagevalleyfcu.org
64,306,MADISON COUNTY,Anderson,IN,http://www.madcofcu.org
65,319,DEPARTMENT OF THE INTERIOR,Washington,DC,http://www.interiorfcu.org
66,320,F R B,Washington,DC,http://www.frbfcu.org
67,340,RADIFI,Jacksonville,FL,http://www.radificu.org
68,352,TAMPA BAY,Tampa,FL,http://www.tampabayfederal.com
69,361,SPERO FINANCIAL,Greenville,SC,https://www.spero.financial
70,365,GP,Rome,GA,http://WWW.GPFEDERAL.ORG
71,367,PEPCO,WASHINGTON,DC,http://Pepcofcu.org
72,370,PPG & ASSOCIATES,Creighton,PA,http://ppgfcu.org
73,373,NEW ALLIANCE,AMBRIDGE,PA,https://www.newalliancefcu.com
74,376,REGIONAL MEMBERS,COLUMBUS,GA,http://www.rmfcu.org
75,378,FLORIDA CUSTOMS,Tampa,FL,HTTP://WWW.FLCUSTOMSFCU.ORG
76,383,ON THE GRID FINANCIAL,Atlanta,GA,http://www.cuonthegrid.com
77,389,CINCINNATI OHIO POLICE,CINCINNATI,OH,http://www.copfcu.com
78,390,ELLIOTT COMMUNITY,JEANNETTE,PA,http://www.elliottfcu.com
79,395,FIREFIGHTERS & COMPANY,DAYTON,OH,http://www.ffcocu.org
80,404,GREATER NEW ORLEANS,Metairie,LA,http://www.gnofcu.com
81,422,PITTSBURGH,Pittsburgh,PA,http://www.pittsburghfcu.org
82,430,DEEPWATER INDUSTRIES,DEEPWATER,NJ,http://www.deepwaterind.org
83,435,STATE DEPARTMENT,ALEXANDRIA,VA,http://www.sdfcu.org
84,444,SCA,NEW CASTLE,PA,http://shenangochinafcu.com
85,452,SKYLINE FINANCIAL,Waterbury,CT,http://www.skylinefinancialfcu.com
86,464,EAGLE ONE,Claymont,DE,http://www.eagleonefcu.org
87,473,RIVERTRUST,PEARL,MS,http://www.rivertrustfcu.com
88,475,INTEGRITY,BARBERTON,OH,http://www.integrityfcu.org
89,477,THE ATLANTIC,Springfield,NJ,https://www.theatlanticfcu.com
90,484,LYNN FIREMENS,Lynn,MA,http://www.lynnffcu.com
91,489,PRIMETRUST FINANCIAL,MUNCIE,IN,http://www.primetrustcu.com
92,490,RAILS WEST,CHUBBUCK,ID,http://www.railswestcu.org
93,511,BFG,AKRON,OH,https://www.bfgfcu.org
94,514,BEN E KEITH COMPANY EMPLOYEES,Fort Worth,TX,http://www.bekefcu.org
95,517,SEI,POCATELLO,ID,http://www.seius.org
96,524,BOSTON CUSTOMS,Boston,MA,http://bostoncustomsfcu.org
97,528,UTAH FIRST,SALT LAKE CITY,UT,http://www.utahfirst.com
98,538,GOVERNMENT PRINTING OFFICE,Washington,DC,http://www.gpofcu.org
99,566,NUVISION,HUNTINGTON BEAC,CA,http://www.nuvisionfederal.org
100,567,AMBRAW,Lawrenceville,IL,http://ambrawfcu.com
101,577,MEMBER PREFERRED,Fort Worth,TX,http://www.memberpreferredfcu.com
102,594,PASADENA,Pasadena,CA,http://www.pfcu.org
103,606,COMTRUST,CHATTANOOGA,TN,https://www.comtrustfcu.com
104,609,NY FIREFIGHTERS BRAVEST,albany,NY,https://www.nybravestfcu.org/
105,613,EMPIRE ONE,West Seneca,NY,http://www.empireonefcu.org
106,616,NEW HORIZON,BARBERTON,OH,http://www.newhorizonfcu.com
107,619,LAFAYETTE,ROCKVILLE,MD,http://www.lfcu.org
